text,label
"Classify each of the following grades as being in elementary or high school: 10th grade, 3rd grade, 4th grade, 12th grade, 1st grade.",classification
Think up 5 different reasons to give my boss to take off work.,brainstorming
Why do companies play dividends?,open_qa
"What is Marketing Automation?

Marketing Automation is a subset of customer relationship management (CRM) or customer experience management (CXM) that focuses on the definition, segmentation, scheduling and tracking of marketing campaigns. The use of marketing automation makes processes that would otherwise have been performed manually much more efficient and makes new processes possible. Marketing Automation can be defined as a process where technology is used to automate several repetitive tasks that are undertaken on a regular basis in a marketing campaign.

Marketing Automation platforms allow marketers to automate and simplify client communication by managing complex omnichannel marketing strategies from a single tool. Marketing Automation assists greatly in areas like Lead Generation, Segmentation, Lead nurturing and lead scoring, Relationship marketing, Cross-sell and upsell, Retention, Marketing ROI measurement. Effective marketing automation tools leverage data from a separate or integrated CRM to understand customer impact and preferences.

Marketing Automation is software that helps marketers to do create efficient online and offline campaigns. It's part of CRM suite and people usually integrate it with their salesforce application and marketing website. The Marketing Automation platform allows marketers to automate and simplify customer communication by managing multi communication channels. This includes personalized email, dynamic web pages, digital banners, social media and more. People use it for lead generation, segmentation and nurturing and lead scoring. Post-sales marketers also use Marketing Automation for cross-sell, upsell and retention marketing. In",closed_qa
Which onsen villages in Japan are the best to visit for foreign tourists? And what should I do once I'm in an onsen village?,general_qa
"Given a reference text about Psychiatry: An Industry of Death, tell me when it opened and and who owns and operates it.

Psychiatry: An Industry of Death is a museum in Hollywood, Los Angeles, California, that has also hosted several touring exhibitions. It is owned and operated by the Citizens Commission on Human Rights (CCHR), an anti-psychiatry organization founded by the Church of Scientology and psychiatrist Thomas Szasz. The museum is located at 6616 Sunset Boulevard, Los Angeles, California. Entry is free.

The opening event on December 17, 2005, was attended by well-known Scientologists such as Priscilla Presley, Lisa Marie Presley, Jenna Elfman, Danny Masterson, Giovanni Ribisi, Catherine Bell, and Anne Archer, as well as former Scientologist Leah Remini.

The museum is dedicated to criticizing what it describes as ""an industry driven entirely by profit"". It has a variety of displays and exhibits that highlight physical psychiatric treatments, such as restraints, psychoactive drugs, electroconvulsive therapy and psychosurgery (including lobotomy, a procedure abandoned in the 1960s).

The exhibition is also well-known for being the site of a heated confrontation between BBC Panorama reporter John Sweeney, and the Church's then-spokesman Tommy Davis in March 2007, during the filming of Sweeney's documentary Scientology and Me.

The Psychiatry: An Industry of Death museum opened on December 17, 2005 and is owned and operated by the Citizens Commission on Human Rights.",closed_qa
Who do you think is the most powerful Mandalorian in Star Wars history?,open_qa
"What is Ana María Gonzalez famous for

Ana María González (born 13 April 1951) is a Spanish lyric soprano trained in Argentina, known for performing at the Teatro Colón from 1973 to 1994. Although associated with the Italian lyric repertoire, she also excelled in lyric soprano roles of the French repertoire such as Manon, Marguerite, and Juliette, which brought her international fame.

Ana María Gonzalez (born 13 April 1951) is a Spanish lyric soprano trained in Argentina, known for performing at the Teatro Colón from 1973 to 1994. Although associated with the Italian lyric repertoire, she also excelled in lyric soprano roles of the French repertoire such as Manon, Marguerite, and Juliette, which brought her international fame.",summarization
"Please classify each of the following animals as mammal, amphibian, or fish: elk, frog, dog, cat, newt, and human.",classification
What percussion instruments are easy to learn?,brainstorming
